183420;838960;1043990;
160050;830580;800640;
202580;801840;830740;
208420;932740;894100;
171220;884380;1001650;
159030;871900;912610;
210460;1100150;934610;
162710;1013600;1114290;
185250;1149680;1318810;
216030;1015890;881680;
159420;1025000;910130;
209050;957540;873220;
159490;3426690;828230;
172780;808950;836260;
160570;1007980;826340;
159250;865420;900010;
168300;955150;978250;
212160;991510;875610;
194510;997600;910360;
190080;1084700;886660;
172160;1139730;854840;
161960;851000;1083800;
159370;971870;1082600;
203510;1243250;8080400;
258400;1343380;5676610;
366400;982530;1038560;
216000;1272160;990500;
256880;1067090;1084820;
163700;1094110;1014800;
324240;1205510;1003960;
